bedomare,lagringstid,mognadstid,syre,y
1,109,2,1,.5
1,109,2,2,.5
1,109,2,4,2
1,109,2,21,3
1,109,5,1,.5
1,109,5,2,1
1,109,5,4,3
1,109,5,21,3
1,109,9,1,1.5
1,109,9,2,.5
1,109,9,4,3
1,109,9,21,2.5
1,109,12,1,2.5
1,109,12,2,3
1,109,12,4,2
1,109,12,21,1.5
1,109,19,1,2
1,109,19,2,2
1,109,19,4,1.5
1,109,19,21,2.5
1,109,26,1,3
1,109,26,2,3
1,109,26,4,3.5
1,109,26,21,2
2,109,2,1,2.5
2,109,2,2,1.5
2,109,2,4,2.5
2,109,2,21,3.5
2,109,5,1,1
2,109,5,2,3
2,109,5,4,2.5
2,109,5,21,2.5
2,109,9,1,3
2,109,9,2,1.5
2,109,9,4,3
2,109,9,21,3.5
2,109,12,1,2.5
2,109,12,2,1
2,109,12,4,3
2,109,12,21,3.5
2,109,19,1,3
2,109,19,2,2.5
2,109,19,4,3
2,109,19,21,3.5
2,109,26,1,1
2,109,26,2,2.5
2,109,26,4,1.5
2,109,26,21,1.5
3,109,2,1,1
3,109,2,2,0
3,109,2,4,2
3,109,2,21,3
3,109,5,1,2
3,109,5,2,1
3,109,5,4,3
3,109,5,21,4
3,109,9,1,3
3,109,9,2,2
3,109,9,4,4.5
3,109,9,21,3
3,109,12,1,3.5
3,109,12,2,2
3,109,12,4,2
3,109,12,21,1
3,109,19,1,2.5
3,109,19,2,2
3,109,19,4,3
3,109,19,21,3
3,109,26,1,1.5
3,109,26,2,4
3,109,26,4,2
3,109,26,21,2
4,109,2,1,1
4,109,2,2,1
4,109,2,4,1.5
4,109,2,21,4
4,109,5,1,1
4,109,5,2,.5
4,109,5,4,2
4,109,5,21,2
4,109,9,1,
4,109,9,2,
4,109,9,4,
4,109,9,21,
4,109,12,1,2.5
4,109,12,2,1.5
4,109,12,4,1.5
4,109,12,21,.5
4,109,19,1,2.5
4,109,19,2,1.5
4,109,19,4,.5
4,109,19,21,2
4,109,26,1,1.5
4,109,26,2,3.5
4,109,26,4,1.5
4,109,26,21,1
5,109,2,1,2
5,109,2,2,2
5,109,2,4,3
5,109,2,21,3
5,109,5,1,3
5,109,5,2,1.5
5,109,5,4,3
5,109,5,21,3
5,109,9,1,
5,109,9,2,
5,109,9,4,
5,109,9,21,
5,109,12,1,3.5
5,109,12,2,3
5,109,12,4,2
5,109,12,21,2
5,109,19,1,
5,109,19,2,
5,109,19,4,
5,109,19,21,
5,109,26,1,1.5
5,109,26,2,4
5,109,26,4,2
5,109,26,21,3
6,109,2,1,1.5
6,109,2,2,1
6,109,2,4,2.5
6,109,2,21,4
6,109,5,1,1.5
6,109,5,2,1
6,109,5,4,2
6,109,5,21,3
6,109,9,1,3
6,109,9,2,2
6,109,9,4,3
6,109,9,21,3.5
6,109,12,1,4
6,109,12,2,2
6,109,12,4,3
6,109,12,21,3
6,109,19,1,3
6,109,19,2,1
6,109,19,4,1
6,109,19,21,2.5
6,109,26,1,2
6,109,26,2,3.5
6,109,26,4,2.5
6,109,26,21,3
7,109,2,1,1.5
7,109,2,2,.5
7,109,2,4,2
7,109,2,21,3
7,109,5,1,.5
7,109,5,2,1.5
7,109,5,4,3
7,109,5,21,4
7,109,9,1,3
7,109,9,2,1
7,109,9,4,3
7,109,9,21,2.5
7,109,12,1,3
7,109,12,2,3
7,109,12,4,2.5
7,109,12,21,1.5
7,109,19,1,3
7,109,19,2,2
7,109,19,4,1
7,109,19,21,3
7,109,26,1,.5
7,109,26,2,3
7,109,26,4,1
7,109,26,21,2.5
8,109,2,1,.5
8,109,2,2,1.5
8,109,2,4,3.5
8,109,2,21,4
8,109,5,1,.5
8,109,5,2,.5
8,109,5,4,4
8,109,5,21,3
8,109,9,1,
8,109,9,2,
8,109,9,4,
8,109,9,21,
8,109,12,1,3
8,109,12,2,2
8,109,12,4,2
8,109,12,21,2.5
8,109,19,1,4
8,109,19,2,1.5
8,109,19,4,3
8,109,19,21,2
8,109,26,1,1
8,109,26,2,3
8,109,26,4,2
8,109,26,21,2
1,190,2,1,.5
1,190,2,2,1
1,190,2,4,3
1,190,2,21,2.5
1,190,5,1,1
1,190,5,2,2
1,190,5,4,3.5
1,190,5,21,2.5
1,190,9,1,1
1,190,9,2,2
1,190,9,4,3
1,190,9,21,1.5
1,190,12,1,.5
1,190,12,2,2
1,190,12,4,1.5
1,190,12,21,3
1,190,19,1,2
1,190,19,2,2.5
1,190,19,4,2
1,190,19,21,1.5
1,190,26,1,1
1,190,26,2,1.5
1,190,26,4,2.5
1,190,26,21,1.5
2,190,2,1,1
2,190,2,2,1
2,190,2,4,3
2,190,2,21,2.5
2,190,5,1,1
2,190,5,2,2.5
2,190,5,4,3.5
2,190,5,21,2.5
2,190,9,1,3
2,190,9,2,1.5
2,190,9,4,3.5
2,190,9,21,2.5
2,190,12,1,1
2,190,12,2,1
2,190,12,4,2
2,190,12,21,3
2,190,19,1,1
2,190,19,2,2.5
2,190,19,4,3
2,190,19,21,1.5
2,190,26,1,
2,190,26,2,
2,190,26,4,
2,190,26,21,
3,190,2,1,2.5
3,190,2,2,2
3,190,2,4,4
3,190,2,21,2
3,190,5,1,2
3,190,5,2,3.5
3,190,5,4,4
3,190,5,21,2
3,190,9,1,2
3,190,9,2,3.5
3,190,9,4,3.5
3,190,9,21,3
3,190,12,1,2
3,190,12,2,3
3,190,12,4,3
3,190,12,21,2.5
3,190,19,1,2.5
3,190,19,2,3
3,190,19,4,3
3,190,19,21,2
3,190,26,1,
3,190,26,2,
3,190,26,4,
3,190,26,21,
4,190,2,1,1
4,190,2,2,2
4,190,2,4,2
4,190,2,21,3.5
4,190,5,1,2
4,190,5,2,1
4,190,5,4,4
4,190,5,21,4
4,190,9,1,1
4,190,9,2,2
4,190,9,4,1
4,190,9,21,3
4,190,12,1,
4,190,12,2,
4,190,12,4,
4,190,12,21,
4,190,19,1,2.5
4,190,19,2,2.5
4,190,19,4,2.5
4,190,19,21,2.5
4,190,26,1,1
4,190,26,2,1.5
4,190,26,4,3
4,190,26,21,1
5,190,2,1,1.5
5,190,2,2,1.5
5,190,2,4,3.5
5,190,2,21,3
5,190,5,1,
5,190,5,2,
5,190,5,4,
5,190,5,21,
5,190,9,1,2
5,190,9,2,3
5,190,9,4,2
5,190,9,21,3
5,190,12,1,
5,190,12,2,
5,190,12,4,
5,190,12,21,
5,190,19,1,2
5,190,19,2,2
5,190,19,4,2
5,190,19,21,2
5,190,26,1,1
5,190,26,2,1.5
5,190,26,4,2
5,190,26,21,2
6,190,2,1,
6,190,2,2,
6,190,2,4,
6,190,2,21,
6,190,5,1,0
6,190,5,2,2
6,190,5,4,2
6,190,5,21,2.5
6,190,9,1,1.5
6,190,9,2,1
6,190,9,4,3
6,190,9,21,3
6,190,12,1,.5
6,190,12,2,3
6,190,12,4,2.5
6,190,12,21,3
6,190,19,1,
6,190,19,2,
6,190,19,4,
6,190,19,21,
6,190,26,1,
6,190,26,2,
6,190,26,4,
6,190,26,21,
7,190,2,1,1
7,190,2,2,.5
7,190,2,4,2
7,190,2,21,3.5
7,190,5,1,.5
7,190,5,2,.5
7,190,5,4,2
7,190,5,21,3
7,190,9,1,2
7,190,9,2,3.5
7,190,9,4,1
7,190,9,21,3
7,190,12,1,1.5
7,190,12,2,2.5
7,190,12,4,3.5
7,190,12,21,3.5
7,190,19,1,1.5
7,190,19,2,1.5
7,190,19,4,3
7,190,19,21,3
7,190,26,1,2
7,190,26,2,2
7,190,26,4,3
7,190,26,21,2.5
8,190,2,1,.5
8,190,2,2,1
8,190,2,4,3
8,190,2,21,2.5
8,190,5,1,1.5
8,190,5,2,2
8,190,5,4,3.5
8,190,5,21,3.5
8,190,9,1,2
8,190,9,2,3.5
8,190,9,4,3.5
8,190,9,21,3
8,190,12,1,1
8,190,12,2,3.5
8,190,12,4,3.5
8,190,12,21,3
8,190,19,1,2
8,190,19,2,3
8,190,19,4,3
8,190,19,21,3
8,190,26,1,.5
8,190,26,2,1
8,190,26,4,3
8,190,26,21,2
